,lemma,hum_winner,hum_0,hum_n,hum_s,hum_r,hum_e,hum_entropy,hum_varentropy,hum_confidence,tri_0,tri_n,tri_e,tri_r,tri_s,tri_winner,tri_entropy,tri_varentropy,tri_confidence,mbert_lemma,mbert_prediction,mbert_entropy,mbert_confidence,mbert_varentropy,mbert_attn_entropy,mbert_attn_sparsity,mbert_tokens,mbert_prob_n,mbert_prob_s,mbert_prob_e,mbert_prob_r,mbert_prob_0,gbert_lemma,gbert_prediction,gbert_entropy,gbert_confidence,gbert_varentropy,gbert_attn_entropy,gbert_attn_sparsity,gbert_tokens,gbert_prob_n,gbert_prob_s,gbert_prob_e,gbert_prob_r,gbert_prob_0,condition,trigram_suffix,frequency,log_frequency
0,Park,s,0.0,0.0,0.977,0.0,0.023,0.1579685469996633,0.6573559617742628,0.93196664989433,0.0050761421319796,0.2436548223350254,0.2715736040609137,0.0,0.4796954314720812,s,1.5541401803905472,0.3898916183217535,0.3306682563458368,Park,s,1.2072,0.7236,1.6635,2.1121,0.5838,['Park'],0.0168,0.7236,0.1015,0.0018,0.1563,Park,e,1.068,0.5646,0.513,1.8089,0.6167,['Park'],0.0068,0.4255,0.5646,0.0014,0.0017,alternation,ark,788.0,2.89707700320942
1,Biskuit,s,0.0959,0.0091,0.8721,0.0,0.0227999999999999,0.6826148520161587,1.7618114218367518,0.7060137850439022,0.0530973451327433,0.6106194690265486,0.2699115044247787,0.0088495575221238,0.0575221238938053,n,1.4667425952859323,1.4618228679333596,0.3683083474826187,Biskuit,0,1.9157,0.4679,0.9744,1.7336,0.6972,"['Bis', '##kui', '##t']",0.2665,0.0649,0.1432,0.0575,0.4679,Biskuit,e,1.1003,0.5743,0.6562,2.2984,0.5369,"['Bis', '##ku', '##it']",0.0047,0.4098,0.5743,0.0009,0.0104,alternation,uit,226.0,2.3560258571931225
2,Jodel,0,0.7070000000000001,0.107,0.1488,0.0372,0.0,1.2842869556998748,1.6028373089451715,0.4468877143406217,0.1,0.7303571428571428,0.0160714285714285,0.0,0.1535714285714285,n,1.1741644526132478,1.5677500992456208,0.4943148949363968,Jodel,n,0.3715,0.9501,1.7271,2.1051,0.5998,"['Jo', '##del']",0.9501,0.0067,0.0271,0.0066,0.0095,Jodel,s,1.0138,0.7196,1.2294,2.1604,0.5608,"['Jo', '##del']",0.0194,0.7196,0.2534,0.0019,0.0058,alternation,del,560.0,2.7489628612561616
3,Schal,s,0.0091,0.0,0.9224,0.0,0.0684999999999999,0.4341306979870665,1.2670857542156315,0.8130300852369305,0.0241935483870967,0.4919354838709677,0.3951612903225806,0.0,0.0887096774193548,n,1.4727092518372378,0.8363350236778411,0.3657386483758965,Schal,s,1.7855,0.5013,1.0627,1.7513,0.6838,"['Sc', '##hal']",0.1799,0.5013,0.2478,0.0359,0.0351,Schal,s,0.5351,0.8796,0.9303,1.8346,0.605,['Schal'],0.0004,0.8796,0.1199,0.0001,0.0,alternation,hal,124.0,2.0969100130080562
4,Test,s,0.0046,0.0,0.9635,0.0,0.032,0.2463056322882457,1.008497966772227,0.8939219380520075,0.0685823754789272,0.0766283524904214,0.1057471264367816,0.0026819923371647,0.746360153256705,s,1.2297996214393048,2.004720789732829,0.4703541319185584,Test,e,0.8285,0.852,2.2252,1.8764,0.6396,['Test'],0.0266,0.0902,0.852,0.0067,0.0245,Test,e,0.0723,0.9918,0.4497,2.0373,0.5696,['Test'],0.0004,0.0077,0.9918,0.0,0.0002,alternation,est,2610.0,3.4168068718229443
5,Boykott,e,0.0046,0.0,0.4861999999999999,0.0,0.5092,1.0373528115674475,0.2102169542967786,0.5532364616063745,0.056338028169014,0.5727699530516432,0.1455399061032863,0.1924882629107981,0.0328638497652582,n,1.718462167375773,1.3981027675490836,0.259898628575259,Boykott,s,0.4873,0.9256,1.8037,2.0251,0.619,"['Boyko', '##tt']",0.0365,0.9256,0.0299,0.0076,0.0004,Boykott,e,0.92,0.6688,0.2712,2.1388,0.552,"['Boy', '##ko', '##tt']",0.0003,0.3309,0.6688,0.0,0.0,alternation,ott,213.0,2.330413773349191
6,Kabarett,s,0.032,0.0,0.7717,0.0,0.1963,0.9085172314345424,1.1545850720103776,0.608722925815403,0.0024875621890547,0.8258706467661692,0.1467661691542288,0.0087064676616915,0.0161691542288557,n,0.8115799709932405,1.695578522727511,0.650471531491327,Kabarett,0,1.4017,0.6781,1.78,1.335,0.7628,"['Ka', '##baret', '##t']",0.0993,0.1733,0.0378,0.0115,0.6781,Kabarett,s,1.3727,0.5087,1.136,1.652,0.7025,"['Kabar', '##ett']",0.0365,0.5087,0.4245,0.0077,0.0225,alternation,ett,1608.0,3.2065560440990297
7,Bukett,s,0.0227999999999999,0.0594,0.8081999999999999,0.0046,0.105,0.991747935771478,2.14413789734976,0.5728774125455474,0.0024875621890547,0.8258706467661692,0.1467661691542288,0.0087064676616915,0.0161691542288557,n,0.8115799709932405,1.695578522727511,0.650471531491327,Bukett,s,0.9824,0.8066,2.0561,2.1373,0.5933,"['Bu', '##ket', '##t']",0.0952,0.8066,0.0123,0.0049,0.0811,Bukett,s,0.7706,0.8579,2.0574,1.608,0.7097,"['Buk', '##ett']",0.0239,0.8579,0.1009,0.0089,0.0083,alternation,ett,1608.0,3.2065560440990297
8,Labor,e,0.0046999999999999,0.0093999999999999,0.1737,0.0,0.8122,0.7820225114718622,1.2765341943734727,0.6632012364233879,0.0,0.4698795180722891,0.0240963855421686,0.0,0.5060240963855421,s,1.138798247101917,0.4458897048398962,0.5095462905981331,Labor,e,0.9788,0.6649,0.5951,1.5873,0.7165,['Labor'],0.0011,0.3274,0.6649,0.0002,0.0065,Labor,e,0.6884,0.8257,0.9297,1.3019,0.7743,['Labor'],0.0018,0.1719,0.8257,0.0004,0.0002,alternation,bor,83.0,1.9242792860618816
9,Fazit,s,0.0571,0.0048,0.5619,0.0,0.3762,1.2707044693239586,0.7812049130853425,0.45273737282308,0.0,0.1481481481481481,0.8333333333333334,0.0,0.0185185185185185,e,0.7338988107776284,1.2567145873637058,0.6839269862001346,Fazit,s,1.2165,0.7584,2.2455,1.6081,0.7077,"['Faz', '##it']",0.0917,0.7584,0.0995,0.0207,0.0296,Fazit,s,0.8445,0.7737,1.0435,1.1739,0.7987,['Fazit'],0.0098,0.7737,0.2149,0.0016,0.0001,alternation,zit,54.0,1.7403626894942439
10,Limit,s,0.0276,0.0,0.9539,0.0,0.0184,0.3139570650587855,1.2575335995868668,0.8647860518376579,0.0508474576271186,0.1016949152542373,0.0,0.0,0.847457627118644,s,0.7562452189342711,1.5214713809639062,0.6743029120499285,Limit,e,0.7661,0.8497,1.8062,1.6139,0.6683,['Limit'],0.0199,0.1147,0.8497,0.0002,0.0154,Limit,0,0.9995,0.7422,1.3537,1.5927,0.6989,"['Lim', '##it']",0.003,0.2229,0.0292,0.0028,0.7422,alternation,mit,118.0,2.0755469613925306
11,Konto,n,0.0,0.9174,0.0825999999999999,0.0,0.0,0.4112748418942123,0.9141820375255558,0.8228735666708217,0.0231292517006802,0.9360544217687076,0.0,0.0,0.0408163265306122,n,0.4032824296495021,1.3980803446564662,0.8263157112670771,Konto,r,0.6557,0.8501,1.1961,1.4096,0.7395,"['Ko', '##nto']",0.0005,0.143,0.0057,0.8501,0.0006,Konto,s,0.143,0.9841,0.8968,1.1104,0.8,['Konto'],0.0064,0.9841,0.0045,0.0048,0.0001,alternation,nto,735.0,2.866877814337499
12,Pastorale,0,0.5093,0.4861,0.0046,0.0,0.0,1.0373461143120437,0.2102366844674548,0.5532393459572805,0.2615535889872173,0.7364798426745329,0.0,0.0,0.0019665683382497,n,0.8487345073393866,0.561141116794181,0.634469943660956,Pastorale,e,2.172,0.3281,0.3632,2.3953,0.5464,"['Pastor', '##ale']",0.2493,0.1394,0.3281,0.2102,0.073,Pastorale,n,1.8617,0.4088,1.0038,2.0406,0.5708,"['Pastor', '##ale']",0.4088,0.3759,0.0999,0.069,0.0463,alternation,ale,1017.0,3.00774777800074
13,Datscha,n,0.0876,0.4562,0.4424,0.0,0.0138,1.4300603514884165,0.7601691566456243,0.3841065299837422,0.1764705882352941,0.6470588235294118,0.0,0.0,0.1764705882352941,n,1.2896085583481507,0.8024217137903353,0.4445958248286279,Datscha,0,1.4279,0.7141,2.2382,2.1263,0.6139,"['Dat', '##sch', '##a']",0.0635,0.0948,0.0687,0.0589,0.7141,Datscha,n,1.3507,0.6194,1.198,1.6452,0.7157,"['Dat', '##scha']",0.6194,0.2806,0.0164,0.082,0.0016,alternation,cha,17.0,1.255272505103306
14,Playlist,s,0.0092,0.3456,0.6452,0.0,0.0,0.9998580662260096,0.4910799123921154,0.5693845694758635,0.0081812460667086,0.8407803650094399,0.0830711139081183,0.0226557583385777,0.0453115166771554,n,0.8913316189191585,2.301109290084546,0.6161243662619116,Playlist,s,0.0063,0.9996,0.0725,2.5162,0.5258,"['Play', '##list']",0.0002,0.9996,0.0001,0.0,0.0001,Playlist,s,0.0397,0.9959,0.2877,1.5476,0.7196,"['Play', '##list']",0.0038,0.9959,0.0001,0.0001,0.0,alternation,ist,3178.0,3.5022905279147727
15,Tafel,n,0.032,0.968,0.0,0.0,0.0,0.2043246709802796,0.7494709967842281,0.9120021539727348,0.6032285471537808,0.3933729821580289,0.0,0.0,0.0033984706881903,0,0.9972508024319522,0.2675431084231526,0.5705074568726776,Tafel,0,0.0014,0.9999,0.0191,2.6127,0.4556,['Tafel'],0.0,0.0,0.0,0.0,0.9999,Tafel,0,0.0,1.0,0.0,1.6816,0.7112,['Tafel'],0.0,0.0,0.0,0.0,1.0,real,fel,1177.0,3.0711452904510828
16,Lawine,n,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,1.0,0.1908964235949837,0.7561542034370645,0.0,0.0,0.0529493729679516,n,0.9854605233992808,1.193020418131281,0.5755852536651933,Lawine,e,1.4055,0.709,2.1304,2.0071,0.6272,"['Law', '##ine']",0.0562,0.086,0.709,0.1193,0.0295,Lawine,n,1.6638,0.5566,1.3944,1.9194,0.5821,"['Law', '##ine']",0.5566,0.2755,0.0869,0.0428,0.0382,real,ine,2153.0,3.3332456989619628
17,Wartezeit,n,0.0137,0.9863,0.0,0.0,0.0,0.1044275298572807,0.5143618847406538,0.9550255108729598,0.0002236235967619,0.989355516794132,0.009615814660763,0.000357797754819,0.0004472471935238,n,0.0914887185968161,0.5587195617478358,0.960597953572178,Wartezeit,e,1.4404,0.6608,1.6874,2.329,0.5591,"['War', '##tez', '##eit']",0.1079,0.1821,0.6608,0.0111,0.0381,Wartezeit,n,0.9827,0.7917,1.9349,2.2394,0.5437,"['Warte', '##zeit']",0.7917,0.0297,0.1541,0.0051,0.0194,real,eit,22359.0,4.349471799214386
18,Teppich,e,0.0046,0.0,0.0,0.0,0.9954,0.0423362019642819,0.2755490339665003,0.981766790256123,0.0104723231459713,0.5229749946569779,0.4565078008121393,0.007693951699081,0.0023509296858303,n,1.1489573727235374,0.7332196970142522,0.5051709933423782,Teppich,0,1.938,0.4944,1.0543,2.2542,0.5762,"['Te', '##ppi', '##ch']",0.2309,0.0918,0.0879,0.095,0.4944,Teppich,e,0.1021,0.9879,0.6072,1.9235,0.5945,['Teppich'],0.0005,0.0109,0.9879,0.0003,0.0005,real,ich,4679.0,3.670245853074124
19,Hase,n,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,1.0,0.0165876777251184,0.9739336492890996,0.0,0.0,0.0094786729857819,n,0.1989137423859165,0.9701396072533016,0.914332514075736,Hase,0,0.6153,0.901,2.0634,2.0996,0.6046,"['Has', '##e']",0.0278,0.0032,0.0559,0.0121,0.901,Hase,e,0.7481,0.8824,2.4427,2.2046,0.538,"['Has', '##e']",0.031,0.0155,0.8824,0.0422,0.0288,real,ase,844.0,2.926856708949692
20,Untertitel,0,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.0,0.5690771222489366,0.2626225263547254,0.0007397817643795,0.0,0.1675605696319585,0,1.408953961407335,0.5614321391729701,0.3931965574172167,Untertitel,n,1.2727,0.6512,1.2606,2.1023,0.6125,"['Unter', '##titel']",0.6512,0.263,0.0736,0.0021,0.0101,Untertitel,n,0.4678,0.9311,1.8217,1.5682,0.7044,['Untertitel'],0.9311,0.0228,0.0321,0.0138,0.0002,real,tel,5407.0,3.7330366829335797
21,Freizeichen,0,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.0,0.9840862422997948,0.0110369609856262,0.0041067761806981,0.0,0.0007700205338809,0,0.135053780503788,0.7892978572523726,0.941835502657829,Freizeichen,s,1.3552,0.6981,1.7822,1.9011,0.6363,"['Frei', '##zeichen']",0.0547,0.6981,0.143,0.0037,0.1005,Freizeichen,s,2.0168,0.3237,0.5566,2.2826,0.5186,"['Frei', '##zeichen']",0.0807,0.3237,0.279,0.0347,0.2819,real,hen,3896.0,3.5907304057926903
