,lemma,prediction,entropy,confidence,varentropy,attn_entropy,attn_sparsity,tokens,prob_n,prob_s,prob_e,prob_r,prob_0
0,Park,e,1.068,0.5646,0.513,1.8089,0.6167,['Park'],0.0068,0.4255,0.5646,0.0014,0.0017
1,Biskuit,e,1.1003,0.5743,0.6562,2.2984,0.5369,"['Bis', '##ku', '##it']",0.0047,0.4098,0.5743,0.0009,0.0104
2,Jodel,s,1.0138,0.7196,1.2294,2.1604,0.5608,"['Jo', '##del']",0.0194,0.7196,0.2534,0.0019,0.0058
3,Schal,s,0.5351,0.8796,0.9303,1.8346,0.605,['Schal'],0.0004,0.8796,0.1199,0.0001,0.0
4,Test,e,0.0723,0.9918,0.4497,2.0373,0.5696,['Test'],0.0004,0.0077,0.9918,0.0,0.0002
5,Boykott,e,0.92,0.6688,0.2712,2.1388,0.552,"['Boy', '##ko', '##tt']",0.0003,0.3309,0.6688,0.0,0.0
6,Kabarett,s,1.3727,0.5087,1.136,1.652,0.7025,"['Kabar', '##ett']",0.0365,0.5087,0.4245,0.0077,0.0225
7,Bukett,s,0.7706,0.8579,2.0574,1.608,0.7097,"['Buk', '##ett']",0.0239,0.8579,0.1009,0.0089,0.0083
8,Labor,e,0.6884,0.8257,0.9297,1.3019,0.7743,['Labor'],0.0018,0.1719,0.8257,0.0004,0.0002
9,Fazit,s,0.8445,0.7737,1.0435,1.1739,0.7987,['Fazit'],0.0098,0.7737,0.2149,0.0016,0.0001
10,Limit,0,0.9995,0.7422,1.3537,1.5927,0.6989,"['Lim', '##it']",0.003,0.2229,0.0292,0.0028,0.7422
11,Konto,s,0.143,0.9841,0.8968,1.1104,0.8,['Konto'],0.0064,0.9841,0.0045,0.0048,0.0001
12,Pastorale,n,1.8617,0.4088,1.0038,2.0406,0.5708,"['Pastor', '##ale']",0.4088,0.3759,0.0999,0.069,0.0463
13,Datscha,n,1.3507,0.6194,1.198,1.6452,0.7157,"['Dat', '##scha']",0.6194,0.2806,0.0164,0.082,0.0016
14,Playlist,s,0.0397,0.9959,0.2877,1.5476,0.7196,"['Play', '##list']",0.0038,0.9959,0.0001,0.0001,0.0
15,Tafel,0,0.0,1.0,0.0,1.6816,0.7112,['Tafel'],0.0,0.0,0.0,0.0,1.0
16,Lawine,n,1.6638,0.5566,1.3944,1.9194,0.5821,"['Law', '##ine']",0.5566,0.2755,0.0869,0.0428,0.0382
17,Wartezeit,n,0.9827,0.7917,1.9349,2.2394,0.5437,"['Warte', '##zeit']",0.7917,0.0297,0.1541,0.0051,0.0194
18,Teppich,e,0.1021,0.9879,0.6072,1.9235,0.5945,['Teppich'],0.0005,0.0109,0.9879,0.0003,0.0005
19,Hase,e,0.7481,0.8824,2.4427,2.2046,0.538,"['Has', '##e']",0.031,0.0155,0.8824,0.0422,0.0288
20,Untertitel,n,0.4678,0.9311,1.8217,1.5682,0.7044,['Untertitel'],0.9311,0.0228,0.0321,0.0138,0.0002
21,Freizeichen,s,2.0168,0.3237,0.5566,2.2826,0.5186,"['Frei', '##zeichen']",0.0807,0.3237,0.279,0.0347,0.2819
22,Becken,0,0.222,0.9733,1.2329,2.0022,0.561,['Becken'],0.0076,0.0066,0.0118,0.0006,0.9733
23,Kissen,e,1.8214,0.4596,0.9392,2.3726,0.5177,"['Kiss', '##en']",0.0883,0.1229,0.4596,0.0172,0.312
24,Gupel,n,0.9247,0.8153,1.9304,2.2128,0.5445,"['Gu', '##pel']",0.8153,0.1211,0.0231,0.0402,0.0003
25,Maffer,s,1.7642,0.5477,1.1773,1.6422,0.7113,"['Maf', '##fer']",0.1047,0.5477,0.1466,0.0148,0.1863
26,Morfett,0,0.0,1.0,0.0,1.609,0.718,"['Mor', '##fe', '##tt']",0.0,0.0,0.0,0.0,1.0
27,Trilit,e,1.5743,0.5757,1.3812,1.38,0.753,"['Tri', '##lit']",0.1013,0.2719,0.5757,0.0269,0.0241
28,Knidoka,0,0.9337,0.8338,2.3984,2.1034,0.5516,"['Kn', '##ido', '##ka']",0.0215,0.0895,0.0333,0.0219,0.8338
29,Grimzo,s,1.4858,0.6242,1.6405,1.6983,0.6962,"['Gri', '##mz', '##o']",0.0326,0.6242,0.0601,0.0311,0.252
30,Trichel,0,0.0,1.0,0.0,1.4844,0.7291,"['Tri', '##che', '##l']",0.0,0.0,0.0,0.0,1.0
31,Pflechter,n,2.1206,0.3754,0.5105,1.448,0.7375,"['Pfle', '##chter']",0.3754,0.2517,0.1556,0.0664,0.1509
32,Cherpak,s,0.6114,0.9029,2.114,2.2093,0.5469,"['Cher', '##pa', '##k']",0.0071,0.9029,0.0186,0.0131,0.0583
33,Kniempe,0,0.0,1.0,0.0,1.59,0.7243,"['Knie', '##mp', '##e']",0.0,0.0,0.0,0.0,1.0
34,Pommeng,0,0.6817,0.8824,1.9942,2.0918,0.5678,"['Po', '##mmen', '##g']",0.0063,0.0624,0.0465,0.0025,0.8824
35,Sampa,s,0.9868,0.7458,1.4135,1.7002,0.6871,"['Sam', '##pa']",0.0138,0.7458,0.225,0.0132,0.0021
36,Fliffel,s,1.3567,0.7326,2.2993,1.7942,0.6725,"['Fl', '##iffe', '##l']",0.0709,0.7326,0.0651,0.0921,0.0393
37,Deipfer,e,1.6681,0.3862,0.4736,1.5203,0.7298,"['Dei', '##pfer']",0.2306,0.3629,0.3862,0.0193,0.0009
38,Istrat,s,1.9109,0.397,0.7609,2.3786,0.5078,"['Ist', '##rat']",0.0508,0.397,0.3084,0.0345,0.2092
39,Virong,e,1.2832,0.6148,0.9142,2.2856,0.5431,"['Vir', '##ong']",0.0845,0.2974,0.6148,0.0026,0.0008
40,Nofte,r,1.9596,0.3473,0.31,2.0141,0.6343,"['No', '##fte']",0.1558,0.2025,0.2912,0.3473,0.0033
41,Brolck,0,0.2253,0.9725,1.2361,1.831,0.6536,"['Bro', '##lc', '##k']",0.0021,0.0136,0.0098,0.0019,0.9725
