,0_pct,n_pct,e_pct,s_pct,r_pct,hum_winner,0_prob,n_prob,s_prob,r_prob,e_prob,entropy,varentropy,confidence
Park,0.0,0.0,2.3,97.7,0.0,s,0.0,0.0,0.977,0.0,0.023,0.15796854699966337,0.6573559617742628,0.93196664989433
Biskuit,9.59,0.91,2.28,87.21,0.0,s,0.0959,0.0091,0.8721,0.0,0.022799999999999997,0.6826148520161587,1.7618114218367518,0.7060137850439022
Jodel,70.7,10.7,0.0,14.88,3.72,0,0.7070000000000001,0.107,0.14880000000000002,0.037200000000000004,0.0,1.2842869556998748,1.6028373089451715,0.4468877143406217
Schal,0.91,0.0,6.85,92.24,0.0,s,0.0091,0.0,0.9224,0.0,0.06849999999999999,0.4341306979870665,1.2670857542156315,0.8130300852369305
Test,0.46,0.0,3.2,96.35,0.0,s,0.0046,0.0,0.9634999999999999,0.0,0.032,0.24630563228824576,1.008497966772227,0.8939219380520075
Boykott,0.46,0.0,50.92,48.62,0.0,e,0.0046,0.0,0.48619999999999997,0.0,0.5092,1.0373528115674477,0.21021695429677864,0.5532364616063745
Kabarett,3.2,0.0,19.63,77.17,0.0,s,0.032,0.0,0.7717,0.0,0.1963,0.9085172314345424,1.1545850720103776,0.608722925815403
Bukett,2.28,5.94,10.5,80.82,0.46,s,0.022799999999999997,0.0594,0.8081999999999999,0.0046,0.105,0.9917479357714779,2.1441378973497596,0.5728774125455474
Labor,0.47,0.94,81.22,17.37,0.0,e,0.004699999999999999,0.009399999999999999,0.17370000000000002,0.0,0.8122,0.7820225114718622,1.2765341943734727,0.6632012364233879
Fazit,5.71,0.48,37.62,56.19,0.0,s,0.0571,0.0048,0.5619,0.0,0.3762,1.2707044693239586,0.7812049130853425,0.45273737282308
Limit,2.76,0.0,1.84,95.39,0.0,s,0.0276,0.0,0.9539,0.0,0.0184,0.3139570650587855,1.2575335995868668,0.8647860518376579
Konto,0.0,91.74,0.0,8.26,0.0,n,0.0,0.9174,0.08259999999999999,0.0,0.0,0.4112748418942123,0.9141820375255558,0.8228735666708217
Pastorale,50.93,48.61,0.0,0.46,0.0,0,0.5093,0.4861,0.0046,0.0,0.0,1.0373461143120435,0.21023668446745486,0.5532393459572805
