,lemma,prediction,entropy,confidence,varentropy,attn_entropy,attn_sparsity,tokens,prob_n,prob_s,prob_e,prob_r,prob_0
0,Park,s,1.2072,0.7236,1.6635,2.1121,0.5838,['Park'],0.0168,0.7236,0.1015,0.0018,0.1563
1,Biskuit,0,1.9157,0.4679,0.9744,1.7336,0.6972,"['Bis', '##kui', '##t']",0.2665,0.0649,0.1432,0.0575,0.4679
2,Jodel,n,0.3715,0.9501,1.7271,2.1051,0.5998,"['Jo', '##del']",0.9501,0.0067,0.0271,0.0066,0.0095
3,Schal,s,1.7855,0.5013,1.0627,1.7513,0.6838,"['Sc', '##hal']",0.1799,0.5013,0.2478,0.0359,0.0351
4,Test,e,0.8285,0.852,2.2252,1.8764,0.6396,['Test'],0.0266,0.0902,0.852,0.0067,0.0245
5,Boykott,s,0.4873,0.9256,1.8037,2.0251,0.619,"['Boyko', '##tt']",0.0365,0.9256,0.0299,0.0076,0.0004
6,Kabarett,0,1.4017,0.6781,1.78,1.335,0.7628,"['Ka', '##baret', '##t']",0.0993,0.1733,0.0378,0.0115,0.6781
7,Bukett,s,0.9824,0.8066,2.0561,2.1373,0.5933,"['Bu', '##ket', '##t']",0.0952,0.8066,0.0123,0.0049,0.0811
8,Labor,e,0.9788,0.6649,0.5951,1.5873,0.7165,['Labor'],0.0011,0.3274,0.6649,0.0002,0.0065
9,Fazit,s,1.2165,0.7584,2.2455,1.6081,0.7077,"['Faz', '##it']",0.0917,0.7584,0.0995,0.0207,0.0296
10,Limit,e,0.7661,0.8497,1.8062,1.6139,0.6683,['Limit'],0.0199,0.1147,0.8497,0.0002,0.0154
11,Konto,r,0.6557,0.8501,1.1961,1.4096,0.7395,"['Ko', '##nto']",0.0005,0.143,0.0057,0.8501,0.0006
12,Pastorale,e,2.172,0.3281,0.3632,2.3953,0.5464,"['Pastor', '##ale']",0.2493,0.1394,0.3281,0.2102,0.073
13,Datscha,0,1.4279,0.7141,2.2382,2.1263,0.6139,"['Dat', '##sch', '##a']",0.0635,0.0948,0.0687,0.0589,0.7141
14,Playlist,s,0.0063,0.9996,0.0725,2.5162,0.5258,"['Play', '##list']",0.0002,0.9996,0.0001,0.0,0.0001
15,Tafel,0,0.0014,0.9999,0.0191,2.6127,0.4556,['Tafel'],0.0,0.0,0.0,0.0,0.9999
16,Lawine,e,1.4055,0.709,2.1304,2.0071,0.6272,"['Law', '##ine']",0.0562,0.086,0.709,0.1193,0.0295
17,Wartezeit,e,1.4404,0.6608,1.6874,2.329,0.5591,"['War', '##tez', '##eit']",0.1079,0.1821,0.6608,0.0111,0.0381
18,Teppich,0,1.938,0.4944,1.0543,2.2542,0.5762,"['Te', '##ppi', '##ch']",0.2309,0.0918,0.0879,0.095,0.4944
19,Hase,0,0.6153,0.901,2.0634,2.0996,0.6046,"['Has', '##e']",0.0278,0.0032,0.0559,0.0121,0.901
20,Untertitel,n,1.2727,0.6512,1.2606,2.1023,0.6125,"['Unter', '##titel']",0.6512,0.263,0.0736,0.0021,0.0101
21,Freizeichen,s,1.3552,0.6981,1.7822,1.9011,0.6363,"['Frei', '##zeichen']",0.0547,0.6981,0.143,0.0037,0.1005
22,Becken,0,1.6963,0.507,0.8645,2.2401,0.5644,['Becken'],0.2439,0.0488,0.1967,0.0036,0.507
23,Kissen,0,0.8598,0.8503,2.3352,2.6022,0.5066,"['Kiss', '##en']",0.0143,0.0689,0.0535,0.013,0.8503
24,Gupel,n,2.1492,0.3417,0.3947,2.3372,0.5677,"['G', '##upe', '##l']",0.3417,0.0588,0.2387,0.206,0.1548
25,Maffer,n,1.1604,0.7458,1.8245,1.3258,0.7677,"['Ma', '##ffer']",0.7458,0.1239,0.1135,0.0096,0.0072
26,Morfett,0,0.0001,1.0,0.0011,2.6824,0.4423,"['Mor', '##fet', '##t']",0.0,0.0,0.0,0.0,1.0
27,Trilit,n,1.9369,0.5069,1.0757,1.5207,0.7308,"['Tri', '##lit']",0.5069,0.1926,0.0675,0.1012,0.1319
28,Knidoka,0,1.6859,0.5559,1.3638,2.0107,0.6267,"['K', '##ni', '##dok', '##a']",0.2634,0.0866,0.0672,0.027,0.5559
29,Grimzo,e,1.1922,0.7698,2.3428,1.5712,0.7139,"['G', '##rim', '##zo']",0.1067,0.0461,0.7698,0.0551,0.0222
30,Trichel,0,0.0043,0.9997,0.0523,2.7142,0.4403,"['Tri', '##chel']",0.0001,0.0,0.0001,0.0,0.9997
31,Pflechter,0,2.0657,0.3646,0.5734,1.7396,0.6868,"['P', '##f', '##lech', '##ter']",0.2977,0.0461,0.1431,0.1486,0.3646
32,Cherpak,s,0.6661,0.8696,1.7017,1.4752,0.735,"['Cher', '##pak']",0.0116,0.8696,0.1105,0.0052,0.0031
33,Kniempe,0,0.0003,1.0,0.0047,2.7341,0.4459,"['K', '##niem', '##pe']",0.0,0.0,0.0,0.0,1.0
34,Pommeng,n,1.7303,0.5868,1.516,1.7532,0.6761,"['Po', '##mmen', '##g']",0.5868,0.0479,0.105,0.0724,0.1879
35,Sampa,e,0.8529,0.8605,2.521,1.6914,0.6736,"['Sam', '##pa']",0.0211,0.0506,0.8605,0.034,0.0338
36,Fliffel,n,2.0974,0.4174,0.6407,1.5873,0.6982,"['Fl', '##iff', '##el']",0.4174,0.1156,0.0927,0.1484,0.2259
37,Deipfer,n,1.2669,0.7236,1.9442,1.8165,0.657,"['Dei', '##pfer']",0.7236,0.0896,0.1509,0.024,0.0119
38,Istrat,n,1.4754,0.6809,1.9356,1.7806,0.652,"['Ist', '##rat']",0.6809,0.126,0.0896,0.0188,0.0847
39,Virong,s,1.3557,0.5817,1.0277,2.2426,0.5757,"['Vir', '##ong']",0.3259,0.5817,0.0823,0.0057,0.0045
40,Nofte,n,2.0175,0.3458,0.62,2.337,0.5547,"['No', '##fte']",0.3458,0.2321,0.3062,0.0599,0.0559
41,Brolck,0,1.1641,0.6425,1.1171,2.4275,0.5284,"['Bro', '##lc', '##k']",0.3175,0.0277,0.0016,0.0107,0.6425
