,0,n,e,r,s,winner,entropy,varentropy,confidence
Park,0.0050761421319796,0.2436548223350254,0.2715736040609137,0.0,0.4796954314720812,s,1.5541401803905472,0.3898916183217535,0.33066825634583685
Biskuit,0.0530973451327433,0.6106194690265486,0.2699115044247787,0.0088495575221238,0.0575221238938053,n,1.4667425952859325,1.4618228679333596,0.36830834748261876
Jodel,0.1,0.7303571428571428,0.0160714285714285,0.0,0.1535714285714285,n,1.1741644526132478,1.5677500992456208,0.4943148949363968
Schal,0.0241935483870967,0.4919354838709677,0.3951612903225806,0.0,0.0887096774193548,n,1.4727092518372378,0.8363350236778411,0.36573864837589654
Test,0.0685823754789272,0.0766283524904214,0.1057471264367816,0.0026819923371647,0.746360153256705,s,1.2297996214393048,2.004720789732829,0.47035413191855846
Boykott,0.056338028169014,0.5727699530516432,0.1455399061032863,0.1924882629107981,0.0328638497652582,n,1.718462167375773,1.3981027675490836,0.259898628575259
Kabarett,0.0024875621890547,0.8258706467661692,0.1467661691542288,0.0087064676616915,0.0161691542288557,n,0.8115799709932405,1.695578522727511,0.650471531491327
Bukett,0.0024875621890547,0.8258706467661692,0.1467661691542288,0.0087064676616915,0.0161691542288557,n,0.8115799709932405,1.695578522727511,0.650471531491327
Labor,0.0,0.4698795180722891,0.0240963855421686,0.0,0.5060240963855421,s,1.138798247101917,0.44588970483989626,0.5095462905981331
Fazit,0.0,0.1481481481481481,0.8333333333333334,0.0,0.0185185185185185,e,0.7338988107776284,1.2567145873637058,0.6839269862001346
Limit,0.0508474576271186,0.1016949152542373,0.0,0.0,0.847457627118644,s,0.7562452189342711,1.5214713809639062,0.6743029120499285
Konto,0.0231292517006802,0.9360544217687076,0.0,0.0,0.0408163265306122,n,0.4032824296495021,1.3980803446564662,0.8263157112670771
Pastorale,0.2615535889872173,0.7364798426745329,0.0,0.0,0.0019665683382497,n,0.8487345073393866,0.561141116794181,0.634469943660956
Datscha,0.1764705882352941,0.6470588235294118,0.0,0.0,0.1764705882352941,n,1.2896085583481507,0.8024217137903353,0.4445958248286279
Playlist,0.0081812460667086,0.8407803650094399,0.0830711139081183,0.0226557583385777,0.0453115166771554,n,0.8913316189191585,2.301109290084546,0.6161243662619116
Tafel,0.6032285471537808,0.3933729821580289,0.0,0.0,0.0033984706881903,0,0.9972508024319522,0.26754310842315265,0.5705074568726776
Lawine,0.1908964235949837,0.7561542034370645,0.0,0.0,0.0529493729679516,n,0.9854605233992807,1.193020418131281,0.5755852536651933
Wartezeit,0.0002236235967619,0.989355516794132,0.009615814660763,0.000357797754819,0.0004472471935238,n,0.09148871859681618,0.5587195617478358,0.960597953572178
Teppich,0.0104723231459713,0.5229749946569779,0.4565078008121393,0.007693951699081,0.0023509296858303,n,1.1489573727235374,0.7332196970142522,0.5051709933423782
Hase,0.0165876777251184,0.9739336492890996,0.0,0.0,0.0094786729857819,n,0.19891374238591658,0.9701396072533015,0.9143325140757359
Untertitel,0.5690771222489366,0.2626225263547254,0.0007397817643795,0.0,0.1675605696319585,0,1.408953961407335,0.5614321391729701,0.3931965574172167
Freizeichen,0.9840862422997948,0.0110369609856262,0.0041067761806981,0.0,0.0007700205338809,0,0.13505378050378802,0.7892978572523726,0.941835502657829
Becken,0.946153846153846,0.0071794871794871,0.0266666666666666,0.0005128205128205,0.0194871794871794,0,0.38243815683614446,1.643263455247319,0.8352928509378768
Kissen,0.9463487332339792,0.0198708395429706,0.0307998012916045,0.0004967709885742,0.0024838549428713,0,0.36921101556558983,1.5269994426781897,0.8409894706134298
Gupel,0.43342776203966,0.5127478753541076,0.0113314447592068,0.0,0.0424929178470254,n,1.2837628876389884,0.8143374156871973,0.4471134181692804
Maffer,0.7281780902167545,0.247510251903925,0.0005858230814294,0.0,0.023725834797891,0,0.9661834535818096,0.9820987699431272,0.5838874357439223
Morfett,0.0024875621890547,0.8258706467661692,0.1467661691542288,0.0087064676616915,0.0161691542288557,n,0.8115799709932405,1.695578522727511,0.650471531491327
Trilit,0.0625,0.8671875,0.0390625,0.0,0.03125,n,0.7672671746929799,2.0840603056384412,0.6695560140805306
Knidoka,0.0,1.0,0.0,0.0,0.0,n,-0.0,0.0,1.0
Grimzo,0.2,0.2,0.2,0.2,0.2,0,2.321928094887362,0.0,0.0
Trichel,0.024390243902439,0.9658536585365852,0.0048780487804878,0.0048780487804878,0.0,n,0.2540057031630094,1.2133498565163108,0.8906056980307431
Pflechter,0.6148019439089947,0.3235685390818016,0.0508239893573697,0.0060272038660983,0.0047783237857356,0,1.2579380880311273,1.1285953228568526,0.4582355539773292
Cherpak,1.0,0.0,0.0,0.0,0.0,0,-0.0,0.0,1.0
Kniempe,0.0024691358024691,0.9975308641975308,0.0,0.0,0.0,n,0.02494491497760403,0.18464081046390451,0.989256809876012
Pommeng,0.0,0.7395543175487466,0.2520891364902507,0.0013927576601671,0.0069637883008356,n,0.8861751577596768,0.8340648878734683,0.6183451332059162
Sampa,1.0,0.0,0.0,0.0,0.0,0,-0.0,0.0,1.0
Fliffel,0.6032285471537808,0.3933729821580289,0.0,0.0,0.0033984706881903,0,0.9972508024319522,0.26754310842315265,0.5705074568726776
Deipfer,0.7281780902167545,0.247510251903925,0.0005858230814294,0.0,0.023725834797891,0,0.9661834535818096,0.9820987699431272,0.5838874357439223
Istrat,0.0023677979479084,0.2734806629834254,0.7067876874506709,0.0027624309392265,0.0146014206787687,e,0.9985652504727163,1.0594920201369615,0.569941354914715
Virong,0.0,0.0,0.0063694267515923,0.0,0.9936305732484076,s,0.055622365818309843,0.3359172922444732,0.9760447509374711
Nofte,0.4350927246790299,0.5634807417974322,0.0,0.0,0.0014265335235378,n,1.0021751277227635,0.13619645342878392,0.5683866654055971
Brolck,0.5,0.5,0.0,0.0,0.0,0,1.0,0.0,0.5693234419266069
