,0,n,e,r,s
att,0.0499603489294211,0.5947660586835845,0.19904837430610625,0.15622521808088818,0.0
mer,0.7157498116051243,0.2776186887716654,0.0049736247174076865,0.0003014318010550113,0.0013564431047475508
ten,0.973215216258468,0.024387701928087546,0.0019801980198019802,0.0,0.00041688379364252214
ote,0.3443181818181818,0.6545454545454545,0.0011363636363636363,0.0,0.0
ite,0.09293379226564082,0.8985624620368495,0.0,0.0,0.008503745697509618
eit,0.00022362359676193031,0.9893555167941321,0.009615814660763004,0.0003577977548190885,0.00044724719352386063
tiz,0.0,1.0,0.0,0.0,0.0
cke,0.26096922069417156,0.7390307793058284,0.0,0.0,0.0
ssn,0.0,1.0,0.0,0.0,0.0
ber,0.7726259473918858,0.222246990637539,0.001560410164957646,0.00022291573785109228,0.0033437360677663844
ern,0.8068638189120116,0.10040160642570281,0.08890105878057686,0.001095290251916758,0.002738225629791895
ion,0.0006324177329932331,0.9884478360773236,0.00018972531989796995,0.0,0.010730020869785188
ier,0.07993268826251577,0.503155237694573,0.3923012200252419,0.00021034917963819942,0.02440050483803113
äum,0.0,0.9804878048780488,0.01951219512195122,0.0,0.0
ung,0.0001374192661811186,0.996627942622171,0.0012156319700637414,0.0,0.002019006141584127
lle,0.11896605418872626,0.8800996574275927,0.0003114294612270321,0.00010380982040901069,0.0005190491020450534
gen,0.9405181347150259,0.039792746113989634,0.018860103626943004,0.0002072538860103627,0.000621761658031088
hme,0.0,1.0,0.0,0.0,0.0
nge,0.13175454664398797,0.8660211958654979,0.0,0.0,0.002224257490514196
ert,0.01167088115152694,0.380665240225637,0.5841276016339234,0.007780587434351294,0.01575568955456137
ahr,0.0004894078165419842,0.6367894847234846,0.362511361252884,0.0,0.0002097462070894218
tor,0.005264184051472022,0.951452524858647,0.03470462078377851,0.0,0.008578670306102555
ent,0.01523937963587323,0.4691840863115307,0.40202292650033716,0.002157788267026298,0.11139581928523264
lem,0.002879473467708762,0.1616618675442205,0.835047305635541,0.0,0.00041135335252982314
eis,0.0017907393195190585,0.2003069838833461,0.797390636991558,0.00025581990278843696,0.00025581990278843696
rte,0.15842911877394636,0.8406130268199233,0.0007662835249042146,0.0,0.00019157088122605365
ahl,0.0008928571428571428,0.9919642857142857,0.006696428571428571,0.0004464285714285714,0.0
men,0.9945942662779398,0.001943634596695821,0.0028547133138969874,6.073858114674441e-05,0.0005466472303206997
cht,0.0027273680897933494,0.5400188817790832,0.42620371341655305,0.028847162488198887,0.0022028742263715513
nch,0.06,0.22,0.67,0.0,0.05
hrt,0.00390625,0.962890625,0.033203125,0.0,0.0
and,0.0071288102261553585,0.5397000983284169,0.27851524090462143,0.16568338249754178,0.008972468043264504
abe,0.00028368794326241134,0.9991489361702127,0.0,0.0,0.0005673758865248227
age,0.010194429847609038,0.9873883342091434,0.0,0.0,0.0024172359432475038
ser,0.6023832684824902,0.38813229571984437,0.00632295719844358,0.00024319066147859923,0.0029182879377431907
rke,0.06339581036383682,0.9366041896361632,0.0,0.0,0.0
dig,0.0049504950495049506,0.5544554455445545,0.39603960396039606,0.034653465346534656,0.009900990099009901
die,0.021052631578947368,0.9588516746411483,0.0,0.0,0.020095693779904306
bil,0.002,0.066,0.914,0.016,0.002
ast,0.0034342803621604744,0.41273805807055886,0.5057758351545426,0.00031220730565095225,0.0777396191070871
nde,0.05827387635362718,0.941581253848104,0.0,0.0,0.0001448697982688059
hiv,0.0,0.27692307692307694,0.7230769230769231,0.0,0.0
raf,0.03723404255319149,0.9627659574468085,0.0,0.0,0.0
eum,0.053231939163498096,0.9429657794676806,0.0,0.0,0.0038022813688212928
rie,0.0,0.9921899406435489,0.0,0.0,0.007810059356451109
rat,0.0023677979479084454,0.27348066298342544,0.7067876874506709,0.0027624309392265192,0.014601420678768745
ute,0.3866045615162223,0.612431737873434,0.00032123353678124,0.00016061676839062,0.0004818503051718599
her,0.7565682978458473,0.2325986801145561,0.008716224629560454,0.00037355248412401944,0.0017432449259120906
rau,0.0009363295880149813,0.9957865168539326,0.0028089887640449437,0.00046816479400749064,0.0
ium,0.008792497069167644,0.9897420867526378,0.0,0.0,0.0014654161781946073
ter,0.6148019439089947,0.32356853908180166,0.05082398935736975,0.0060272038660983355,0.004778323785735617
zer,0.7684998560322488,0.23073231596122468,9.597850081581725e-05,9.597850081581725e-05,0.0005758710048949035
ker,0.7655038759689923,0.21608527131782945,0.0024224806201550387,0.00024224806201550387,0.015746124031007752
lad,0.0,0.7727272727272727,0.03636363636363636,0.15454545454545454,0.03636363636363636
sse,0.3963273744375532,0.6024565243828287,0.0004864404718472577,0.0,0.0007296607077708865
ice,0.06812339331619537,0.017994858611825194,0.0,0.0,0.9138817480719794
ukt,0.0006506710044733631,0.21886945912972752,0.7803172021146808,0.0,0.00016266775111834078
nat,0.0015375153751537515,0.5378228782287823,0.46063960639606394,0.0,0.0
nis,0.002730030333670374,0.13953488372093023,0.8575328614762386,0.0,0.00020222446916076846
sch,0.0030454858041064937,0.857844581982513,0.13635917084192947,0.002652519893899204,9.824147755182238e-05
ing,0.04541309502097392,0.16250227977384643,0.5469633412365493,0.0001823819077147547,0.24493890206091556
aft,0.00017337031900138697,0.7690707350901526,0.23058252427184467,0.0,0.00017337031900138697
tem,0.006951340615690168,0.2047335319430652,0.7651439920556107,0.0,0.023171135385633895
che,0.14524573551764905,0.8503631143387941,0.0,0.001266677926026009,0.0031244722175308224
aat,0.0019047619047619048,0.9961904761904762,0.0,0.0,0.0019047619047619048
lan,0.0045045045045045045,0.10585585585585586,0.8566066066066066,0.0,0.03303303303303303
ger,0.7432339607088886,0.24179145487017448,0.009204561066080506,0.0002747630168979255,0.005495260337958511
gin,0.020242914979757085,0.46153846153846156,0.20512820512820512,0.0,0.31309041835357626
tel,0.5690771222489366,0.2626225263547254,0.000739781764379508,0.0,0.16756056963195856
iem,0.03571428571428571,0.7142857142857143,0.25,0.0,0.0
eri,0.007692307692307693,0.9923076923076923,0.0,0.0,0.0
itt,0.0012630249447426586,0.26681401957688666,0.727818124407957,0.0034733185980423114,0.0006315124723713293
eam,0.03230722340749771,0.0006095702529716549,0.0,0.0,0.9670832063395306
ler,0.7773770018756312,0.2192324339922089,0.0019477708844322609,0.00014427932477276007,0.0012985139229548406
fer,0.7281780902167545,0.247510251903925,0.0005858230814294083,0.0,0.023725834797891036
tag,0.001571400510705166,0.45315262227460223,0.4985268120212139,0.0,0.04674916519347869
ile,0.1171993911719939,0.867579908675799,0.0,0.00076103500761035,0.01445966514459665
ife,0.12378640776699029,0.8762135922330098,0.0,0.0,0.0
kay,1.0,0.0,0.0,0.0,0.0
ken,0.9461538461538461,0.0071794871794871795,0.02666666666666667,0.0005128205128205128,0.019487179487179488
hre,0.10714285714285714,0.8908730158730159,0.0,0.0,0.001984126984126984
ext,0.019543973941368076,0.251900108577633,0.7285559174809989,0.0,0.0
ude,0.5482406356413166,0.44948921679909193,0.0,0.0,0.0022701475595913734
ial,0.020833333333333332,0.746875,0.18802083333333333,0.0,0.044270833333333336
oll,0.017173051519154558,0.4438573315719947,0.49801849405548215,0.026420079260237782,0.01453104359313078
kti,0.023809523809523808,0.7142857142857143,0.0,0.0,0.2619047619047619
dat,0.00016139444803098772,0.8224661071659135,0.04389928986442866,0.0,0.13347320852162686
tät,0.00021510002151000216,0.99935469993547,0.0,0.0,0.00043020004302000433
pus,0.9803921568627451,0.0,0.0196078431372549,0.0,0.0
adt,0.0,0.4783362218370884,0.5216637781629117,0.0,0.0
erk,0.0036719706242350062,0.19216646266829865,0.7980416156670747,0.0,0.006119951040391677
uch,0.0031409501374165686,0.22300745975657638,0.5653710247349824,0.20573223400078525,0.0027483313702394976
enz,0.0,0.9996359665089188,0.00036403349108117945,0.0,0.0
eck,0.004964147821290678,0.4125758411472697,0.49862107004964146,0.0005515719801434088,0.08328736900165472
ust,0.023112480739599383,0.2711864406779661,0.6795069337442219,0.0061633281972265025,0.020030816640986132
tes,0.9972789115646259,0.0,0.0027210884353741495,0.0,0.0
alt,0.0005285412262156448,0.2758985200845666,0.7090380549682875,0.013213530655391121,0.001321353065539112
ieb,0.006527415143603133,0.21279373368146215,0.779373368146214,0.0,0.0013054830287206266
rde,0.011988716502115656,0.9880112834978844,0.0,0.0,0.0
fte,0.43509272467902993,0.5634807417974322,0.0,0.0,0.0014265335235378032
uto,0.017346938775510204,0.0,0.0,0.0,0.9826530612244898
ran,0.06521739130434782,0.4673913043478261,0.21739130434782608,0.0,0.25
rer,0.7593032462391133,0.2135128002111375,0.025336500395882817,0.0,0.0018474531538664556
tte,0.20121614151464898,0.7871752349364289,0.0,0.011608623548922056,0.0
urg,0.0,0.987012987012987,0.0,0.0,0.012987012987012988
olg,0.002607561929595828,0.3767926988265971,0.6205997392438071,0.0,0.0
mat,0.0,0.5089078233927188,0.48644461657629745,0.0,0.004647560030983733
zin,0.07017543859649122,0.2631578947368421,0.5964912280701754,0.0,0.07017543859649122
